Band;Name;mhz_low;earfcn_low;mhz_middle;earfcn_middle;mhz_high;earfcn_high
1;2100;2110;0;2140;300;2170;599
2;1900 PCS;1930;600;1960;900;1990;1199
3;1800+;1805;1200;1842.5;1575;1880;1949
4;AWS-1;2110;1950;2132.5;2175;2155;2399
5;850;869;2400;881.5;2525;894;2649
6;UMTS only;875;2650;880;2700;885;2749
7;2600;2620;2750;2655;3100;2690;3449
8;900 GSM;925;3450;942.5;3625;960;3799
9;1800;1844.9;3800;1862.4;3975;1879.9;4149
10;AWS-1+;2110;4150;2140;4450;2170;4749
11;1500 Lower;1475.9;4750;1485.9;4850;1495.9;4949
12;700 a;729;5010;737.5;5095;746;5179
13;700 c;746;5180;751;5230;756;5279
14;700 PS;758;5280;763;5330;768;5379
17;700 b;734;5730;740;5790;746;5849
18;800 Lower;860;5850;867.5;5925;875;5999
19;800 Upper;875;6000;882.5;6075;890;6149
20;800 DD;791;6150;806;6300;821;6449
21;1500 Upper;1495.9;6450;1503.4;6525;1510.9;6599
22;3500;3510;6600;3550;7000;3590;7399
23;2000 S-band;2180;7500;2190;7600;2200;7699
24;1600 L-band;1525;7700;1542;7870;1559;8039
25;1900+;1930;8040;1962.5;8365;1995;8689
26;850+;859;8690;876.5;8865;894;9039
27;800 SMR;852;9040;860.5;9125;869;9209
28;700 APT;758;9210;780.5;9435;803;9659
29;700 d;717;9660;722.5;9715;728;9769
30;2300 WCS;2350;9770;2355;9820;2360;9869
31;450;462.5;9870;465;9895;467.5;9919
32;1500 L-band;1452;9920;1474;10140;1496;10359
65;2100+;2110;65536;2155;65986;2200;66435
66;AWS-3;2110;66436;2155;66886;2200;67335
67;700 EU;738;67336;748;67436;758;67535
68;700 ME;753;67536;768;67686;783;67835
69;2500;2570;67836;2595;68086;2620;68335
70;AWS-4;1995;68336;2007.5;68461;2020;68585
252;Unlicensed NII-1;5150;255144;5200;255644;5250;256143
255;Unlicensed NII-3;5725;260894;5787.5;261519;5850;262143
33;TD 1900;1900;36000;1910;36100;1920;36199
34;TD 2000;2010;36200;2017.5;36275;2025;36349
35;TD PCS Lower;1850;36350;1880;36650;1910;36949
36;TD PCS Upper;1930;36950;1960;37250;1990;37549
37;TD PCS Center gap;1910;37550;1920;37650;1930;37749
38;TD 2600;2570;37750;2595;38000;2620;38249
39;TD 1900+;1880;38250;1900;38450;1920;38649
40;TD 2300;2300;38650;2350;39150;2400;39649
41;TD 2500;2496;39650;2593;40620;2690;41589
42;TD 3500;3400;41590;3500;42590;3600;43589
43;TD 3700;3600;43590;3700;44590;3800;45589
44;TD 700;703;45590;753;46090;803;46589
45;TD 1500;1447;46590;1457;46690;1467;46789
46;TD Unlicensed;5150;46790;5537.5;50665;5925;54539
47;TD V2X;5855;54540;5890;54890;5925;55239
48;TD 3600;3550;55240;3625;55990;3700;56739
